latitude,longitude
18.456792,-69.951164
19.432608,-99.133207
15.478598,120.599741
37.983773,23.728157
33.580412,130.396361
37.005105,-89.176269
-34.891151,-56.187214
37.805065,-122.273024
43.076592,-89.412488
43.07295,-89.386694
43.4685,-89.744299
39.74001,-104.992259
41.89052,12.494249
42.331685,-83.047924
18.399712,-66.049987
52.516667,13.4
40.610069,-73.947971
18.379998,-65.830948
47.60356,-122.329439
40.116748,-88.23927
-34.891151,-56.187214
47.610594,-122.317228
47.655335,-122.30352
40.728075,-74.077825
14.624422,-90.53288
14.677301,121.044348
10.502961,-66.917253
42.47031,-96.413949
33.60651,-88.650419
40.78306,-73.971249
33.60651,-88.650419
40.728224,-73.794852
41.241996,-82.615241
52.516667,13.4
47.60356,-122.329439
42.479999,-96.413046
42.46634,-96.41405
25.720851,-80.277857
15.675051,120.331618
39.748783,-105.022136
45.511795,-122.675629
37.005105,-89.176269
40.78306,-73.971249
40.844782,-73.864827
40.78306,-73.971249
41.084195,-81.514059
39.74001,-104.992259
47.608758,-122.329439
47.60356,-122.329439
18.460791,-66.264884
18.399712,-66.049987
18.441963,-66.026316
42.3505,-71.105399
42.838355,-88.743224
40.751212,-73.903649
40.678178,-73.944158
40.78306,-73.971249
39.07859,-84.179414
48.139126,11.580186
42.263414,-83.665281
37.869885,-122.270539
48.139126,11.580186
37.869885,-122.270539
40.78306,-73.971249
44.04483,-123.072606
37.777125,-122.419644
37.869885,-122.270539
37.869885,-122.270539
37.775471,-122.403717
37.805065,-122.273024
39.334825,-77.431653
30.493919,-90.132512
47.655335,-122.30352
41.504365,-81.690459
38.10083,-122.254954
41.763325,-72.674069
40.807026,-73.960349
47.655335,-122.30352
50.111445,8.680615
47.36865,8.539182
40.733572,-74.002742
40.678178,-73.944158
40.78306,-73.971249
39.74001,-104.992259
42.455233,-76.475847
43.287052,-89.724361
42.47031,-96.413949
42.47031,-96.413949
42.47031,-96.413949
42.47031,-96.413949
32.222232,-110.925752
39.74001,-104.992259
40.101952,-88.227161
40.007581,-105.265942
31.532521,35.100248
14.596051,120.978666
41.89052,12.494249
40.007581,-105.265942
38.83345,-104.821814
40.007581,-105.265942
40.014986,-105.270546
41.504365,-81.690459
39.751039,-104.930496
47.655335,-122.30352
37.805065,-122.273024
38.019304,-122.134062
39.735233,-104.986082
47.60356,-122.329439
39.73686,-104.981109
18.46617,-66.106654
14.624422,-90.53288
42.331685,-83.047924
42.331685,-83.047924
37.869885,-122.270539
33.83651,-86.254749
41.18188,-73.191269
35.084319,-106.619781
39.53894,-76.348479
48.139126,11.580186
38.563122,-76.078063
37.721897,-122.478209
-23.550711,-46.633475
40.102408,-88.227159
40.712784,-74.007124
40.712784,-74.005941
41.88415,-87.632409
41.88415,-87.632409
40.78306,-73.971249
44.260288,-88.397455
44.268598,-88.42844
31.1980556,29.9191667
40.609334,-74.028722
33.766725,-118.192399
18.46617,-66.106654
45.783975,-108.505794
34.105245,-117.294124
34.04773,-118.204709
39.226835,-84.453309
45.511795,-122.675629
42.331685,-83.047924
38.897676,-77.03653
40.78306,-73.971249
40.78306,-73.971249
40.844782,-73.864827
40.844782,-73.864827
40.78306,-73.971249
28.538235,-81.377389
15.153002,120.591942
18.456792,-69.951164
-27.583246,-56.683334
40.78306,-73.971249
41.508882,-81.611701
37.93781,-122.342709
37.777125,-122.419644
-34.6037,-58.381503
33.888629,35.495479
40.85122,-90.864369
32.3575,-84.95623
14.624422,-90.53288
33.580412,130.396361
38.89037,-77.031959
47.655335,-122.30352
42.7375,-84.483779
42.455233,-76.475847
29.717394,-95.401831
15.185916,120.54187
40.844782,-73.864827
53.344104,-6.267494
40.78306,-73.971249
40.844782,-73.864827
46.731958,-117.162603
-30.034108,-51.217839
-34.6037,-58.381503
35.76625,-117.370674
35.76625,-117.370674
40.78306,-73.971249
29.717394,-95.401831
38.973065,-95.236534
37.023676,-94.735504
34.04773,-118.204709
38.624421,-90.150603
32.715695,-117.161719
42.455233,-76.475847
28.949564,-95.344371
37.869885,-122.270539
39.087921,-94.521196
39.10296,-94.583062
39.10296,-94.583062
35.76625,-117.370674
33.783824,-118.11409
34.05349,-118.245319
31.950001,35.933331
34.05349,-118.245319
34.0613,-118.203553
34.04773,-118.204709
39.10296,-94.583062
39.10296,-94.583062
39.099888,-94.579763
35.76625,-117.370674
37.805065,-122.273024
47.60356,-122.329439
47.60356,-122.329439
47.60356,-122.329439
47.60356,-122.329439
40.728224,-73.794852
38.954344,-95.255796
34.05349,-118.245319
35.76625,-117.370674
37.871899,-122.25854
37.871899,-122.25854
43.04181,-87.906844
40.102408,-88.227159
34.062685,-117.163181
18.379626,-67.188421
18.379626,-67.188421
18.379626,-67.188421
18.379626,-67.188421
37.44466,-122.160794
39.290555,-76.609604
40.78306,-73.971249
40.764469,-73.974488
41.014836,28.961414
39.952219,-75.193214
42.7375,-84.483779
42.7375,-84.483779
42.7375,-84.483779
30.443335,-91.186994
30.443335,-91.186994
45.031807,-93.336547
41.657825,-91.526534
41.312065,-72.928288
42.056459,-87.675267
33.882923,-117.929104
42.025345,-93.620199
38.788097,-90.497479
52.505803,13.331741
52.516667,13.4
40.78306,-73.971249
30.443335,-91.186994
42.290156,-71.04897
18.399712,-66.049987
40.78306,-73.971249
39.640397,-86.861622
41.316324,-72.922343
40.844782,-73.864827
40.860619,-73.898915
40.1142,-88.243499
40.1142,-88.243499
-25.282773,-57.63561
39.645039,-79.183128
35.904912,-79.046913
35.22076,-97.446599
40.347457,-94.872909
52.516667,13.4
46.404973,-117.009341
25.720851,-80.277857
28.538235,-81.377389
40.678178,-73.944158
37.805065,-122.273024
46.143582,-122.925645
40.336585,-75.927843
45.511795,-122.675629
33.73787,-118.284664
45.511795,-122.675629
42.301631,-71.067605
40.78306,-73.971249
41.356445,-72.096469
40.818985,-73.595724
34.092809,-118.328661
38.551295,-121.471066
52.516667,13.4
38.89037,-77.031959
46.198392,6.142296
29.76045,-95.369784
42.331685,-83.047924
41.58979,-93.615659
40.759505,-111.888229
36.312,-78.5882
25.800315,-80.226554
42.45717,-71.064049
40.807535,-73.962573
33.783824,-118.11409
36.312,-78.5882
52.505803,13.331741
-34.891151,-56.187214
52.505803,13.331741
47.60356,-122.329439
40.712784,-74.005941
38.550245,-90.332723
30.588141,-84.580929
40.20119,-77.189169
25.764367,-80.201529
35.76625,-117.370674
40.712784,-74.005941
44.946604,-93.136446
42.025345,-93.620199
36.312,-78.5882
36.312,-78.5882
36.312,-78.5882
34.05349,-118.245319
42.301631,-71.067605
42.301631,-71.067605
38.579065,-121.491014
33.44826,-112.075774
40.762666,-73.955879
33.882923,-117.929104
-34.6037,-58.381503
-34.891151,-56.187214
37.805065,-122.273024
32.715695,-117.161719
40.712576,-74.013382
11.586558,122.753716
30.443335,-91.186994
41.524935,-88.084594
45.511795,-122.675629
37.805065,-122.273024
34.068921,-118.445181
14.677301,121.044348
52.505803,13.331741
52.505803,13.331741
40.78306,-73.971249
37.869885,-122.270539
31.950001,35.933331
31.950001,35.933331
33.96307,-118.232573
41.88415,-87.632409
37.805065,-122.273024
10.063506,-69.334722
35.696442,51.422974
40.712784,-74.005941
31.950001,35.933331
31.950001,35.933331
40.946915,-90.364659
40.73197,-74.174184
31.950001,35.933331
-22.908278,-43.197026
35.696442,51.422974
41.260675,-95.940469
-34.891151,-56.187214
37.005322,-89.176156
37.005105,-89.176269
41.58979,-93.615659
39.10296,-94.583062
52.505803,13.331741
52.505803,13.331741
33.887157,-118.410843
37.831455,-122.285164
40.729513,-73.996461
40.78306,-73.971249
37.869885,-122.270539
37.869885,-122.270539
41.88415,-87.632409
37.770822,-122.43445
41.58979,-93.615659
52.505803,13.331741
37.777125,-122.419644
40.712784,-74.005941
32.50064,-94.741075
54.99451,-7.319996
54.99451,-7.319996
54.597269,-5.930109
54.597269,-5.930109
54.597269,-5.930109
42.331685,-83.047924
41.601286,-93.658064
43.118461,-87.902289
40.617623,-74.417061
40.78306,-73.971249
40.78306,-73.971249
40.78306,-73.971249
40.78306,-73.971249
43.074701,-88.008394
42.290156,-71.04897
-22.908278,-43.197026
38.923305,-77.036604
37.871899,-122.25854
38.89037,-77.031959
38.89037,-77.031959
38.89037,-77.031959
38.89037,-77.031959
41.260675,-95.940469
33.895285,-118.224329
40.78306,-73.971249
47.60356,-122.329439
40.712784,-74.005941
40.609334,-74.028722
32.50064,-94.741075
41.084195,-81.514059
40.5894,-73.666354
37.777125,-122.419644
40.728224,-73.794852
40.712784,-74.005941
40.712784,-74.005941
40.712784,-74.005941
40.712784,-74.005941
33.948315,-86.472939
38.232471,-122.644448
48.139126,11.580186
42.039274,-87.859977
5.059097,-75.50596
41.637675,-70.930869
37.441883,-122.160794
41.88415,-87.632409
40.78306,-73.971249
41.88415,-87.632409
40.678178,-73.944158
44.943829,-93.093326
41.903965,-87.638367
40.78306,-73.971249
40.65,-73.944158
32.715695,-117.161719
40.728224,-73.794852
43.04181,-87.906844
37.97918,23.716647
43.013903,-87.896195
39.945255,-75.119129
12.136389,-86.251389
34.05349,-118.245319
-8.048021,-34.876338
40.678178,-73.944158
38.62774,-90.199514
43.939135,-90.820369
40.712784,-74.005941
43.939135,-90.820369
43.939135,-90.820369
37.777125,-122.419644
37.777125,-122.419644
-34.891151,-56.187214
29.76045,-95.369784
42.817988,-1.644184
37.766585,-122.244739
41.88415,-87.632409
-34.891151,-56.187214
-34.891151,-56.187214
-34.891151,-56.187214
-34.422436,-58.737755
35.2225,-80.837539
52.370216,4.895168
40.712784,-74.005941
50.850335,4.351685
37.869885,-122.270539
43.010178,-87.97178
-26.808285,-65.21759
33.871124,-117.861401
37.338475,-121.885794
52.516667,13.4
39.26931,-76.503519
37.97457,-122.532474
-31.632368,-60.699359
45.511795,-122.675629
54.077313,-6.608787
52.516667,13.4
52.516667,13.4
33.60651,-88.650419
41.260675,-95.940469
44.945006,-93.272815
40.678178,-73.944158
-34.891151,-56.187214
38.89037,-77.031959
39.464791,-76.829198
37.869885,-122.270539
-34.891151,-56.187214
44.04483,-123.072606
44.943829,-93.093326
39.301537,-76.660819
43.07295,-89.386694
19.432608,-99.133207
42.505832,-71.19376
52.516667,13.4
42.377003,-71.11666
35.948199,-77.795207
37.90118,-122.061628
38.89037,-77.031959
37.869885,-122.270539
37.90118,-122.061628
33.946154,-118.082952
38.89037,-77.031959
33.948005,-83.377322
39.918392,32.865597
31.950001,35.933331
-34.891151,-56.187214
39.95227,-75.162369
37.97918,23.716647
37.777125,-122.419644
37.432805,-121.897259
37.548148,-121.988566
35.14968,-90.048929
44.943829,-93.093326
-34.891151,-56.187214
54.597269,-5.930109
43.06015,-87.888132
33.745573,-117.867834
41.82277,-90.538969
34.05349,-118.245319
50.111445,8.680615
47.36865,8.539182
52.370216,4.895168
32.085688,34.783684
42.58176,-71.792259
52.516667,13.4
-31.399301,-64.182129
43.07295,-89.386694
29.647665,-82.348458
31.950001,35.933331
-34.891151,-56.187214
-34.6037,-58.381503
51.500152,-0.126236
-34.891151,-56.187214
-34.891151,-56.187214
-32.951052,-60.666365
41.65381,-83.536259
42.811978,-70.872638
42.350097,-71.156442
-34.891151,-56.187214
40.712784,-74.005941
52.516667,13.4
40.712784,-74.005941
-34.891151,-56.187214
40.712784,-74.005941
40.712784,-74.005941
54.597269,-5.930109
35.696442,51.422974
39.290555,-76.609604
38.423708,27.134205
44.04483,-123.072606
39.162608,-76.624689
39.918392,32.865597
39.918392,32.865597
46.803137,-71.241298
41.88415,-87.632409
37.264891,-81.240268
39.918392,32.865597
40.712784,-74.005941
47.60356,-122.329439
34.419255,-119.698869
37.97457,-122.532474
37.869885,-122.270539
-34.891151,-56.187214
48.777106,9.180769
29.76045,-95.369784
